dates,campaign_name,creative_name,total_spent,impressions,clicks,click_through_rate,leads,platform,adset_name
2024-04-29,USP_Search_APTNTSKA_250124, --,6766.15,1250,220,0.176,25.0,google,gmat/gre
2024-05-02,USP_2_Lead-gen-2_Top4-states_050424,#7 ( Graphic ) - Get A Free Pass,946.38,3154,9,0.28535193,1.0,facebook,usp-2_ka_tn_050424
2024-05-02,USP_2_Lead-gen-2_Top4-states_050424,USP_S3_never-been-easier,170.4,2695,8,0.29684601,0.0,facebook,usp-2_ka_tn_050424
2024-05-02,USP_2_Lead-gen-2_Top4-states_050424,USP_S4_Do-you-have,55.65,577,2,0.34662045,0.0,facebook,usp-2_ka_tn_050424
2024-05-02,USP_2_Lead-gen-2_Top4-states_050424,USP_S1_We-guarantee,296.94,1466,10,0.68212824,1.0,facebook,usp-2_ap_ts_050424
2024-05-02,USP_2_Lead-gen-2_Top4-states_050424,USP_S4_Do-you-have,64.11,1115,3,0.2690583,0.0,facebook,usp-2_ap_ts_050424
2024-05-02,USP_2_Lead-gen-2_Top4-states_050424,USP_S3_never-been-easier,191.13,4131,11,0.26627935,0.0,facebook,usp-2_ap_ts_050424
2024-05-02,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1201.92,3056,34,1.11256545,6.0,facebook,all india generic leads ad set_240224
2024-05-02,USP_2_Lead-gen-2_Top4-states_050424,#8 ( Graphic ) - Study In The USA,214.4,592,4,0.67567568,1.0,facebook,usp-2_ap_ts_050424
2024-05-02,USP_2_Lead-gen-1_220124,USP_S4_Do-you-have,14.82,8,0,0.0,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-02,USP_2_Lead-gen-1_220124,USP_S3_never-been-easier,42.96,2,2,100.0,1.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-02,USP_2_Lead-gen-1_220124,USP_S2_Faced-rejection,39.18,3,0,0.0,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-02,USP_2_Lead-gen-1_220124,USP_S1_We-guarantee,378.32,114,3,2.63157895,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-02,USP Study Abroad_Generic_240224,USP_S4_Do-you-have,87.27,58,0,0.0,0.0,facebook,all india generic leads ad set_240224
2024-05-02,USP Study Abroad_Generic_240224,USP_S5_easy-for-you,36.15,28,1,3.57142857,0.0,facebook,all india generic leads ad set_240224
